overlap_volume,min_x,min_y,min_z,max_x,max_y,max_z
24840,693720,265158,203200,718720,290158,228200
23845,668720,290158,128200,693720,315158,153200
24869,693720,290158,128200,718720,315158,153200
27976,768720,315158,203200,793720,340158,228200
29031,793720,340158,178200,818720,365158,203200
29032,793720,340158,203200,818720,365158,228200
28007,768720,340158,178200,793720,365158,203200
27975,768720,315158,178200,793720,340158,203200
30023,818720,315158,178200,843720,340158,203200
23813,668720,265158,128200,693720,290158,153200
24837,693720,265158,128200,718720,290158,153200
23844,668720,290158,103200,693720,315158,128200
23846,668720,290158,153200,693720,315158,178200
28006,768720,340158,153200,793720,365158,178200
27974,768720,315158,153200,793720,340158,178200
25893,718720,290158,128200,743720,315158,153200
23816,668720,265158,203200,693720,290158,228200
24868,693720,290158,103200,718720,315158,128200
25892,718720,290158,103200,743720,315158,128200
23848,668720,290158,203200,693720,315158,228200
25860,718720,265158,103200,743720,290158,128200
25861,718720,265158,128200,743720,290158,153200
25891,718720,290158,78200,743720,315158,103200
23879,668720,315158,178200,693720,340158,203200
23847,668720,290158,178200,693720,315158,203200
24901,693720,315158,128200,718720,340158,153200
24872,693720,290158,203200,718720,315158,228200
24871,693720,290158,178200,718720,315158,203200
23880,668720,315158,203200,693720,340158,228200
24903,693720,315158,178200,718720,340158,203200
24902,693720,315158,153200,718720,340158,178200
25927,718720,315158,178200,743720,340158,203200
24870,693720,290158,153200,718720,315158,178200
5285,218720,190158,128200,243720,215158,153200
5317,218720,215158,128200,243720,240158,153200
25926,718720,315158,153200,743720,340158,178200
5287,218720,190158,178200,243720,215158,203200
5319,218720,215158,178200,243720,240158,203200
4294,193720,215158,153200,218720,240158,178200
4293,193720,215158,128200,218720,240158,153200
26920,743720,290158,203200,768720,315158,228200
26888,743720,265158,203200,768720,290158,228200
27944,768720,290158,203200,793720,315158,228200
27912,768720,265158,203200,793720,290158,228200
25862,718720,265158,153200,743720,290158,178200
25863,718720,265158,178200,743720,290158,203200
26887,743720,265158,178200,768720,290158,203200
27943,768720,290158,178200,793720,315158,203200
