root_id,mapped_id,celltype_id,celltype_name
720575940608668867,0,7,T5a
720575940617634772,1,11,Tm9
720575940620584319,2,9,T4a
720575940621153306,3,37,Tm3
720575940621736205,4,20,T5d
720575940622690954,5,18,Mi9
720575940623683854,6,107,Tm4
720575940623862676,7,26,T2a
720575940624347978,8,38,T3
720575940625204226,9,6,T5b
720575940625537511,10,120,C2
720575940625802627,11,68,T2
720575940626468233,12,102,Tm2
720575940627387644,13,4,Tm1
720575940628325735,14,248,L5
720575940628806824,15,60,L1
720575940628943810,16,21,T4d
720575940629062555,17,213,Tm20
720575940629787651,18,636,R7
720575940631122489,19,19,T4c
720575940631530747,20,199,T1
720575940631755746,21,5,T4b
720575940632563681,22,420,Tm21
720575940632856289,23,77,Mi1
720575940636397748,24,739,R8
720575940637062878,25,0,T5c
720575940638454325,26,69,Mi4
720575940639040445,27,356,C3
720575940640202557,28,12,L2
720575940655029921,29,187,L4
