overlap_volume,pre_id_mapped,post_id_mapped,pre_celltype,post_celltype,synapse_count
294,-1,-1,-1,-1,10
294,-1,-1,-1,12,2
294,-1,-1,-1,60,2
295,-1,-1,-1,-1,49
295,-1,-1,-1,12,16
295,-1,-1,-1,60,15
295,-1,-1,-1,199,4
295,-1,-1,-1,248,1
326,-1,-1,-1,-1,203
326,-1,-1,-1,12,10
326,-1,-1,-1,60,11
327,-1,-1,-1,-1,202
327,-1,-1,-1,12,3
327,-1,-1,-1,199,2
358,-1,-1,-1,-1,294
358,-1,-1,-1,12,1
358,-1,-1,187,-1,1
359,-1,-1,-1,-1,13
390,-1,-1,-1,-1,403
390,-1,-1,-1,12,6
421,-1,-1,-1,-1,7
422,-1,-1,-1,-1,1273
422,-1,-1,-1,12,6
422,-1,-1,-1,60,6
422,-1,-1,187,-1,1
453,-1,-1,-1,-1,30
454,-1,-1,-1,-1,611
1223,-1,-1,-1,12,1
1254,-1,-1,-1,-1,3
1255,-1,-1,-1,-1,188
1255,-1,-1,-1,12,48
1255,-1,-1,-1,60,40
1255,-1,-1,-1,248,2
1286,-1,-1,-1,-1,108
1286,-1,-1,-1,12,21
1286,-1,-1,-1,60,21
1286,-1,-1,-1,120,1
1286,-1,-1,-1,356,1
1287,-1,-1,-1,-1,713
1287,-1,-1,-1,12,89
1287,-1,-1,-1,60,76
1287,-1,-1,-1,199,3
1287,-1,-1,-1,356,1
1287,-1,-1,120,12,1
1318,-1,-1,-1,-1,804
1318,-1,-1,-1,12,69
1318,-1,-1,-1,60,59
1318,-1,-1,-1,199,2
1318,-1,-1,-1,248,5
1319,-1,-1,-1,-1,938
1319,-1,-1,-1,12,60
1319,-1,-1,-1,60,48
1319,-1,-1,-1,248,1
1319,-1,-1,120,248,1
1350,-1,-1,-1,-1,1775
1350,-1,-1,-1,12,32
1350,-1,-1,-1,60,36
1350,-1,-1,-1,187,1
1350,-1,-1,-1,248,1
1350,-1,-1,187,-1,1
1351,-1,-1,-1,-1,416
1381,-1,-1,-1,-1,23
1382,-1,-1,-1,-1,2234
1382,-1,-1,-1,12,5
1382,-1,-1,187,-1,1
1383,-1,-1,-1,-1,5
1413,-1,-1,-1,-1,219
1413,-1,-1,-1,12,7
1414,-1,-1,-1,-1,2443
1414,-1,-1,-1,12,10
1445,-1,-1,-1,-1,535
1445,-1,-1,-1,12,6
1446,-1,-1,-1,-1,2329
1477,-1,-1,-1,-1,469
1477,-1,-1,-1,60,3
1478,-1,-1,-1,-1,762
1509,-1,-1,-1,-1,1
2214,-1,-1,-1,-1,10
2214,-1,-1,-1,60,1
2215,-1,-1,-1,-1,108
2215,-1,-1,-1,12,23
2215,-1,-1,-1,60,15
2215,-1,-1,-1,199,5
